

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

,Sell,3/12/2018 11:00,LX3,$3448.25,,$293.75,$2734.90,,($45.00),86.58%,75.08%,$0.35,$0.50
25,Buy,3/16/2018 10:00,LE1,$3415.75,$0.00,1,($71.70),-0.41%,$20.00,22.22%,,$0.35,$0.50
,Sell,3/18/2018 21:15,PosRiskLX,$3401.75,,($70.00),$2663.20,,($70.00),0.00%,-77.78%,$0.35,$0.50
26,Buy,3/16/2018 10:15,LE2,$3414.00,$0.00,1,($62.95),-0.36%,$28.75,31.94%,,$0.35,$0.50
,Sell,3/18/2018 21:15,PosRiskLX,$3401.75,,($61.25),$2600.25,,($61.25),0.00%,-68.06%,$0.35,$0.50
27,Buy,3/16/2018 10:30,LE3,$3414.00,$0.00,2,($125.90),-0.36%,$57.50,31.94%,,$0.70,$1.00
,Sell,3/18/2018 21:15,PosRiskLX,$3401.75,,($122.50),$2474.35,,($122.50),0.00%,-68.06%,$0.70,$1.00
28,Buy,3/29/2018 11:15,LE1,$3287.50,$0.00,1,$37.05,0.24%,$127.50,78.46%,,$0.35,$0.50
,Sell,3/29/2018 15:45,% Trailing Stop,$3295.25,,$38.75,$2511.40,,($35.00),45.38%,23.85%,$0.35,$0.50
29,Buy,3/29/2018 11:30,LE2,$3289.50,$0.00,1,$27.05,0.17%,$117.50,72.31%,,$0.35,$0.50
,Sell,3/29/2018 15:45,% Trailing Stop,$3295.25,,$28.75,$2538.45,,($45.00),45.38%,17.69%,$0.35,$0.50
30,Buy,3/29/2018 11:45,LE3,$3286.25,$0.00,1,$43.30,0.27%,$133.75,82.31%,,$0.35,$0.50
,Sell,3/29/2018 15:45,% Trailing Stop,$3295.25,,$45.00,$2581.75,,($28.75),45.38%,27.69%,$0.35,$0.50
31,Buy,4/5/2018 09:45,LE1,$3314.50,$0.00,1,($96.70),-0.57%,$56.25,37.19%,,$0.35,$0.50
,Sell,4/5/2018 19:00,PosRiskLX,$3295.50,,($95.00),$2485.05,,($95.00),0.00%,-62.81%,$0.35,$0.50
32,Buy,4/5/2018 10:00,LE2,$3308.50,$0.00,1,($66.70),-0.39%,$86.25,57.02%,,$0.35,$0.50
,Sell,4/5/2018 19:00,PosRiskLX,$3295.50,,($65.00),$2418.35,,($65.00),0.00%,-42.98%,$0.35,$0.50
33,Buy,4/5/2018 10:15,LE3,$3313.50,$0.00,1,($91.70),-0.54%,$61.25,40.50%,,$0.35,$0.50
,Sell,4/5/2018 19:00,PosRiskLX,$3295.50,,($90.00),$2326.65,,($90.00),0.00%,-59.50%,$0.35,$0.50
34,Buy,4/11/2018 11:00,LE1,$3308.00,$0.00,1,($44.20),-0.26%,$1.25,1.72%,,$0.35,$0.50
,Sell,4/11/2018 11:30,LX1,$3299.50,,($42.50),$2282.45,,($71.25),39.66%,-58.62%,$0.35,$0.50
35,Buy,4/11/2018 11:15,LE2,$3297.00,$0.00,1,$10.80,0.08%,$16.25,50.00%,,$0.35,$0.50
,Sell,4/11/2018 11:30,LX2,$3299.50,,$12.50,$2293.25,,($16.25),88.46%,38.46%,$0.35,$0.50
36,Buy,4/12/2018 09:45,LE1,$3310.50,$0.00,1,($52.95),-0.31%,$117.50,69.63%,,$0.35,$0.50
,Sell,4/13/2018 15:30,PosRiskLX,$3300.25,,($51.25),$2240.30,,($51.25),0.00%,-30.37%,$0.35,$0.50
37,Buy,4/12/2018 10:00,LE2,$3317.75,$0.00,1,($89.20),-0.53%,$81.25,48.15%,,$0.35,$0.50
,Sell,4/13/2018 15:30,PosRiskLX,$3300.25,,($87.50),$2151.10,,($87.50),0.00%,-51.85%,$0.35,$0.50
38,Buy,4/12/2018 10:15,LE3,$3323.00,$0.00,1,($115.45),-0.68%,$55.00,32.59%,,$0.35,$0.50
,Sell,4/13/2018 15:30,PosRiskLX,$3300.25,,($113.75),$2035.65,,($113.75),0.00%,-67.41%,$0.35,$0.50
39,Buy,4/16/2018 09:45,LE1,$3328.75,$0.00,1,$180.80,1.10%,$216.25,82.38%,,$0.35,$0.50
,Sell,4/18/2018 10:00,LX1,$3365.25,,$182.50,$2216.45,,($46.25),87.14%,69.52%,$0.35,$0.50
