

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Buy,1/12/2018 05:00,BO_Long,$9771.00,$0.00,1,$119.80,0.62%,$208.00,72.98%,,$0.35,$0.50
,Sell,1/16/2018 11:00,Trail_LX,$9831.75,,$121.50,$119.80,,($77.00),69.65%,42.63%,$0.35,$0.50
2,Buy,1/19/2018 07:00,BO_Long,$9875.25,$0.00,1,$251.30,1.28%,$316.50,81.78%,,$0.35,$0.50
,Sell,1/24/2018 11:00,% Trailing Stop,$10001.75,,$253.00,$371.10,,($70.50),83.59%,65.37%,$0.35,$0.50
3,Buy,1/26/2018 15:00,BO_Long,$10026.25,$0.00,1,($22.70),-0.10%,$100.50,82.72%,,$0.35,$0.50
,Sell,1/29/2018 11:00,Trail_LX,$10015.75,,($21.00),$348.40,,($21.00),0.00%,-17.28%,$0.35,$0.50
4,Sell Short,2/5/2018 09:00,BO_Short,$9734.75,$0.00,1,($83.20),-0.42%,$46.00,36.08%,,$0.35,$0.50
,Buy to Cover,2/5/2018 11:00,Trail_SX,$9775.50,,($81.50),$265.20,,($81.50),0.00%,-63.92%,$0.35,$0.50
5,Sell Short,2/5/2018 16:00,BO_Short,$9528.50,$0.00,1,$50.80,0.28%,$223.00,98.45%,,$0.35,$0.50
,Buy to Cover,2/5/2018 19:00,Trail_SX,$9502.25,,$52.50,$316.00,,($3.50),24.72%,23.18%,$0.35,$0.50
6,Sell Short,2/5/2018 21:00,BO_Short,$9469.75,$0.00,1,$254.80,1.35%,$256.50,87.69%,,$0.35,$0.50
,Buy to Cover,2/5/2018 21:00,% Trailing Stop,$9341.50,,$256.50,$570.80,,($36.00),100.00%,87.69%,$0.35,$0.50
7,Sell Short,2/5/2018 23:00,BO_Short,$9365.25,$0.00,1,$31.80,0.18%,$151.50,76.52%,,$0.35,$0.50
,Buy to Cover,2/6/2018 01:00,Trail_SX,$9348.50,,$33.50,$602.60,,($46.50),40.40%,16.92%,$0.35,$0.50
8,Sell Short,2/8/2018 13:00,BO_Short,$9525.75,$0.00,1,$34.80,0.19%,$218.00,88.80%,,$0.35,$0.50
,Buy to Cover,2/8/2018 15:00,Trail_SX,$9507.50,,$36.50,$637.40,,($27.50),26.07%,14.87%,$0.35,$0.50
9,Sell Short,2/8/2018 16:00,BO_Short,$9332.00,$0.00,1,($118.20),-0.62%,$28.50,18.57%,,$0.35,$0.50
,Buy to Cover,2/8/2018 23:00,Trail_SX,$9390.25,,($116.50),$519.20,,($125.00),5.54%,-75.90%,$0.35,$0.50
10,Sell Short,2/9/2018 13:00,BO_Short,$9311.75,$0.00,1,$67.30,0.37%,$237.00,91.86%,,$0.35,$0.50
,Buy to Cover,2/9/2018 15:00,Trail_SX,$9277.25,,$69.00,$586.50,,($21.00),34.88%,26.74%,$0.35,$0.50
11,Buy,2/15/2018 11:00,BO_Long,$9782.25,$0.00,1,$23.80,0.13%,$213.50,56.18%,,$0.35,$0.50
,Sell,2/20/2018 05:00,BO_LX,$9795.00,,$25.50,$610.30,,($166.50),50.53%,6.71%,$0.35,$0.50
12,Buy,2/20/2018 15:00,BO_Long,$9868.00,$0.00,1,($154.70),-0.78%,$93.50,34.63%,,$0.35,$0.50
,Sell,2/21/2018 16:00,Trail_LX,$9791.50,,($153.00),$455.60,,($176.50),8.70%,-56.67%,$0.35,$0.50
13,Buy,2/23/2018 15:00,BO_Long,$9877.75,$0.00,1,$254.80,1.30%,$321.00,95.68%,,$0.35,$0.50
,Sell,2/27/2018 09:00,% Trailing Stop,$10006.00,,$256.50,$710.40,,($14.50),80.77%,76.45%,$0.35,$0.50
14,Buy,3/8/2018 19:00,BO_Long,$10003.50,$0.00,1,$282.30,1.42%,$355.00,93.79%,,$0.35,$0.50
,Sell,3/12/2018 11:00,% Trailing Stop,$10145.50,,$284.00,$992.70,,($23.50),81.24%,75.03%,$0.35,$0.50
15,Buy,3/13/2018 09:00,BO_Long,$10178.50,$0.00,1,($119.20),-0.58%,$80.00,40.51%,,$0.35,$0.50
,Sell,3/13/2018 11:00,Trail_LX,$10119.75,,($117.50),$873.50,,($117.50),0.00%,-59.49%,$0.35,$0.50
16,Sell Short,3/21/2018 16:00,BO_Short,$9875.00,$0.00,1,($47.70),-0.23%,$2.50,5.15%,,$0.35,$0.50
,Buy to Cover,3/21/2018 21:00,Trail_SX,$9898.00,,($46.00),$825.80,,($46.00),0.00%,-94.85%,$0.35,$0.50
17,Sell Short,3/22/2018 05:00,BO_Short,$9824.75,$0.00,1,$47.80,0.25%,$110.50,71.99%,,$0.35,$0.50
,Buy to Cover,3/22/2018 11:00,Trail_SX,$9800.00,,$49.50,$873.60,,($43.00),60.26%,32.25%,$0.35,$0.50
18,Sell Short,3/22/2018 13:00,BO_Short,$9736.75,$0.00,1,($126.70),-0.64%,$22.50,13.04%,,$0.35,$0.50
,Buy to Cover,3/22/2018 15:00,Trail_SX,$9799.25,,($125.00),$746.90,,($150.00),14.49%,-72.46%,$0.35,$0.50
19,Sell Short,3/22/2018 16:00,BO_Short,$9702.25,$0.00,1,$127.30,0.66%,$208.00,90.24%,,$0.35,$0.50
,Buy to Cover,3/23/2018 01:00,Trail_SX,$9637.75,,$129.00,$874.20,,($22.50),65.73%,55.97%,$0.35,$0.50
20,Sell Short,3/23/2018 03:00,BO_Short,$9620.75,$0.00,1,($105.20),-0.54%,$19.50,15.06%,,$0.35,$0.50
,Buy to Cover,3/23/2018 05:00,Trail_SX,$9672.50,,($103.50),$769.00,,($110.00),5.02%,-79.92%,$0.35,$0.50
21,Sell Short,3/23/2018 16:00,BO_Short,$9524.25,$0.00,1,($90.70),-0.47%,$2.50,2.73%,,$0.35,$0.50
,Buy to Cover,3/25/2018 19:00,Trail_SX,$9568.75,,($89.00),$678.30,,($89.00),0.00%,-97.27%,$0.35,$0.50
22,Sell Short,3/27/2018 16:00,BO_Short,$9547.50,$0.00,1,($29.20),-0.14%,$83.50,51.86%,,$0.35,$0.50
,Buy to Cover,3/28/2018 03:00,Trail_SX,$9561.25,,($27.50),$649.10,,($77.50),31.06%,-17.08%,$0.35,$0.50
23,Sell Short,3/28/2018 05:00,BO_Short,$9499.00,$0.00,1,($84.20),-0.43%,$19.50,19.12%,,$0.35,$0.50
,Buy to Cover,3/28/2018 07:00,Trail_SX,$9540.25,,($82.50),$564.90,,($82.50),0.00%,-80.88%,$0.35,$0.50
24,Sell Short,3/28/2018 13:00,BO_Short,$9493.00,$0.00,1,($79.70),-0.41%,$46.00,21.20%,,$0.35,$0.50
,Buy to Cover,3/28/2018 15:00,Trail_SX,$9532.00,,($78.00),$485.20,,($171.00),42.86%,-35.94%,$0.35,$0.50
25,Sell Short,3/28/2018 16:00,BO_Short,$9474.50,$0.00,1,($57.20),-0.29%,$7.50,9.04%,,$0.35,$0.50
,Buy to Cover,3/29/2018 03:00,BO_SX,$9502.25,,($55.50),$428.00,,($75.50),24.10%,-66.87%,$0.35,$0.50
26,Sell Short,3/29/2018 11:00,BO_Short,$9461.50,$0.00,1,($187.70),-0.98%,$14.00,5.53%,,$0.35,$0.50
,Buy to Cover,3/29/2018 13:00,BO_SX,$9554.50,,($186.00),$240.30,,($239.00),20.95%,-73.52%,$0.35,$0.50
27,Sell Short,4/2/2018 13:00,BO_Short,$9395.75,$0.00,1,($37.20),-0.19%,$130.50,57.24%,,$0.35,$0.50
,Buy to Cover,4/2/2018 15:00,Trail_SX,$9413.50,,($35.50),$203.10,,($97.50),27.19%,-15.57%,$0.35,$0.50
28,Sell Short,4/4/2018 07:00,BO_Short,$9339.00,$0.00,1,($86.70),-0.46%,$4.00,4.49%,,$0.35,$0.50
,Buy to Cover,4/4/2018 09:00,Trail_SX,$9381.50,,($85.00),$116.40,,($85.00),0.00%,-95.51%,$0.35,$0.50
29,Sell Short,4/6/2018 09:00,BO_Short,$9523.75,$0.00,1,($132.70),-0.69%,$3.50,2.15%,,$0.35,$0.50
,Buy to Cover,4/6/2018 11:00,BO_SX,$9589.25,,($131.00),($16.30),,($159.00),17.23%,-80.62%,$0.35,$0.50
30,Sell Short,4/6/2018 15:00,BO_Short,$9471.25,$0.00,1,$6.80,0.04%,$117.50,83.93%,,$0.35,$0.50
,Buy to Cover,4/8/2018 19:00,Trail_SX,$9467.00,,$8.50,($9.50),,($22.50),22.14%,6.07%,$0.35,$0.50
31,Buy,4/10/2018 15:00,BO_Long,$9615.00,$0.00,1,$393.80,2.06%,$494.50,80.41%,,$0.35,$0.50
,Sell,4/18/2018 11:00,% Trailing Stop,$9812.75,,$395.50,$384.30,,($120.50),83.90%,64.31%,$0.35,$0.50
32,Buy,4/18/2018 21:00,BO_Long,$9866.75,$0.00,1,($105.20),-0.52%,$7.00,4.44%,,$0.35,$0.50
,Sell,4/19/2018 11:00,BO_LX,$9815.00,,($103.50),$279.10,,($150.50),29.84%,-65.71%,$0.35,$0.50
33,Sell Short,4/30/2018 13:00,BO_Short,$9639.25,$0.00,1,($5.20),-0.02%,$79.50,94.64%,,$0.35,$0.50
,Buy to Cover,4/30/2018 15:00,Trail_SX,$9641.00,,($3.50),$273.90,,($4.50),1.19%,-4.17%,$0.35,$0.50
34,Sell Short,4/30/2018 16:00,BO_Short,$9614.50,$0.00,1,($35.70),-0.18%,$27.50,44.72%,,$0.35,$0.50
,Buy to Cover,5/1/2018 01:00,Trail_SX,$9631.50,,($34.00),$238.20,,($34.00),0.00%,-55.28%,$0.35,$0.50
35,Sell Short,5/1/2018 07:00,BO_Short,$9606.75,$0.00,1,($34.70),-0.17%,$19.50,36.79%,,$0.35,$0.50
,Buy to Cover,5/1/2018 09:00,Trail_SX,$9623.25,,($33.00),$203.50,,($33.50),0.94%,-62.26%,$0.35,$0.50
36,Sell Short,5/1/2018 13:00,BO_Short,$9601.25,$0.00,1,($82.20),-0.42%,$13.50,14.29%,,$0.35,$0.50
,Buy to Cover,5/1/2018 15:00,BO_SX,$9641.50,,($80.50),$121.30,,($81.00),0.53%,-85.19%,$0.35,$0.50
37,Buy,5/1/2018 21:00,BO_Long,$9726.00,$0.00,1,($190.70),-0.97%,$15.00,7.35%,,$0.35,$0.50
,Sell,5/2/2018 16:00,Trail_LX,$9631.50,,($189.00),($69.40),,($189.00),0.00%,-92.65%,$0.35,$0.50
38,Buy,5/4/2018 13:00,BO_Long,$9750.75,$0.00,1,$370.30,1.91%,$465.50,97.79%,,$0.35,$0.50
,Sell,5/11/2018 15:00,% Trailing Stop,$9936.75,,$372.00,$300.90,,($10.50),80.36%,78.15%,$0.35,$0.50
39,Buy,5/13/2018 21:00,BO_Long,$9986.75,$0.00,1,($76.70),-0.38%,$61.50,42.71%,,$0.35,$0.50
,Sell,5/15/2018 09:00,BO_LX,$9949.25,,($75.00),$224.20,,($82.50),5.21%,-52.08%,$0.35,$0.50
40,Sell Short,5/22/2018 16:00,BO_Short,$9906.50,$0.00,1,$103.80,0.53%,$145.50,87.13%,,$0.35,$0.50
,Buy to Cover,5/23/2018 09:00,Trail_SX,$9853.75,,$105.50,$328.00,,($21.50),76.05%,63.17%,$0.35,$0.50
41,Buy,5/24/2018 23:00,BO_Long,$9995.25,$0.00,1,($101.70),-0.50%,$31.50,23.95%,,$0.35,$0.50
,Sell,5/29/2018 03:00,Trail_LX,$9945.25,,($100.00),$226.30,,($100.00),0.00%,-76.05%,$0.35,$0.50
42,Buy,5/31/2018 01:00,BO_Long,$9991.75,$0.00,1,$312.80,1.57%,$393.50,86.96%,,$0.35,$0.50
,Sell,6/5/2018 11:00,% Trailing Stop,$10149.00,,$314.50,$539.10,,($59.00),82.54%,69.50%,$0.35,$0.50
43,Buy,6/5/2018 19:00,BO_Long,$10185.75,$0.00,1,($18.70),-0.08%,$104.50,56.95%,,$0.35,$0.50
,Sell,6/7/2018 11:00,Trail_LX,$10177.25,,($17.00),$520.40,,($79.00),33.79%,-9.26%,$0.35,$0.50
44,Buy,6/11/2018 15:00,BO_Long,$10185.75,$0.00,1,$48.30,0.25%,$168.50,77.29%,,$0.35,$0.50
,Sell,6/13/2018 15:00,Trail_LX,$10210.75,,$50.00,$568.70,,($49.50),45.64%,22.94%,$0.35,$0.50
45,Buy,6/14/2018 13:00,BO_Long,$10283.50,$0.00,1,($85.20),-0.41%,$35.00,29.54%,,$0.35,$0.50
,Sell,6/15/2018 09:00,Trail_LX,$10241.75,,($83.50),$483.50,,($83.50),0.00%,-70.46%,$0.35,$0.50
46,Buy,6/20/2018 07:00,BO_Long,$10256.50,$0.00,1,$27.30,0.14%,$164.00,88.17%,,$0.35,$0.50
,Sell,6/21/2018 05:00,Trail_LX,$10271.00,,$29.00,$510.80,,($22.00),27.42%,15.59%,$0.35,$0.50
47,Sell Short,6/25/2018 05:00,BO_Short,$10157.25,$0.00,1,$15.80,0.09%,$69.50,87.42%,,$0.35,$0.50
,Buy to Cover,6/25/2018 09:00,Trail_SX,$10148.50,,$17.50,$526.60,,($10.00),34.59%,22.01%,$0.35,$0.50
48,Sell Short,6/25/2018 11:00,BO_Short,$10098.00,$0.00,1,$156.30,0.78%,$245.00,91.59%,,$0.35,$0.50
,Buy to Cover,6/25/2018 15:00,Trail_SX,$10019.00,,$158.00,$682.90,,($22.50),67.48%,59.07%,$0.35,$0.50
49,Sell Short,6/27/2018 05:00,BO_Short,$10010.50,$0.00,1,($54.70),-0.26%,$34.50,38.55%,,$0.35,$0.50
,Buy to Cover,6/27/2018 07:00,Trail_SX,$10037.00,,($53.00),$628.20,,($55.00),2.23%,-59.22%,$0.35,$0.50
50,Sell Short,6/27/2018 16:00,BO_Short,$9969.25,$0.00,1,($62.20),-0.30%,$2.00,3.20%,,$0.35,$0.50
,Buy to Cover,6/27/2018 23:00,Trail_SX,$9999.50,,($60.50),$566.00,,($60.50),0.00%,-96.80%,$0.35,$0.50
51,Sell Short,7/2/2018 05:00,BO_Short,$9984.50,$0.00,1,($46.20),-0.22%,$2.00,4.30%,,$0.35,$0.50
,Buy to Cover,7/2/2018 09:00,Trail_SX,$10006.75,,($44.50),$519.80,,($44.50),0.00%,-95.70%,$0.35,$0.50
52,Buy,7/6/2018 03:00,BO_Long,$10133.25,$0.00,1,$289.80,1.44%,$364.50,78.98%,,$0.35,$0.50
,Sell,7/10/2018 09:00,% Trailing Stop,$10279.00,,$291.50,$809.60,,($97.00),84.18%,63.16%,$0.35,$0.50
53,Buy,7/12/2018 11:00,BO_Long,$10297.25,$0.00,1,$61.80,0.31%,$194.00,99.74%,,$0.35,$0.50
,Sell,7/16/2018 16:00,Trail_LX,$10329.00,,$63.50,$871.40,,($0.50),32.90%,32.65%,$0.35,$0.50
54,Buy,7/17/2018 15:00,BO_Long,$10399.25,$0.00,1,($60.70),-0.28%,$37.00,32.89%,,$0.35,$0.50
,Sell,7/19/2018 05:00,BO_LX,$10369.75,,($59.00),$810.70,,($75.50),14.67%,-52.44%,$0.35,$0.50
55,Buy,7/23/2018 19:00,BO_Long,$10400.25,$0.00,1,$3.30,0.02%,$139.00,95.21%,,$0.35,$0.50
,Sell,7/24/2018 11:00,Trail_LX,$10402.75,,$5.00,$814.00,,($7.00),8.22%,3.42%,$0.35,$0.50
56,Buy,7/25/2018 15:00,BO_Long,$10454.00,$0.00,1,($125.20),-0.59%,$112.00,47.56%,,$0.35,$0.50
,Sell,7/25/2018 19:00,Trail_LX,$10392.25,,($123.50),$688.80,,($123.50),0.00%,-52.44%,$0.35,$0.50
57,Sell Short,7/27/2018 13:00,BO_Short,$10345.00,$0.00,1,$92.30,0.45%,$203.00,99.02%,,$0.35,$0.50
,Buy to Cover,7/27/2018 15:00,Trail_SX,$10298.00,,$94.00,$781.10,,($2.00),46.83%,45.85%,$0.35,$0.50
58,Sell Short,7/31/2018 01:00,BO_Short,$10178.75,$0.00,1,($39.20),-0.18%,$1.50,3.57%,,$0.35,$0.50
,Buy to Cover,7/31/2018 03:00,BO_SX,$10197.50,,($37.50),$741.90,,($40.50),7.14%,-89.29%,$0.35,$0.50
59,Sell Short,8/2/2018 05:00,BO_Short,$10222.25,$0.00,1,($3.20),-0.01%,$56.00,81.75%,,$0.35,$0.50
,Buy to Cover,8/2/2018 09:00,Trail_SX,$10223.00,,($1.50),$738.70,,($12.50),16.06%,-2.19%,$0.35,$0.50
60,Buy,8/7/2018 01:00,BO_Long,$10436.75,$0.00,1,$7.80,0.05%,$97.50,77.38%,,$0.35,$0.50
,Sell,8/10/2018 01:00,BO_LX,$10441.50,,$9.50,$746.50,,($28.50),30.16%,7.54%,$0.35,$0.50
61,Buy,8/14/2018 05:00,BO_Long,$10443.75,$0.00,1,($123.70),-0.58%,$1.00,0.81%,,$0.35,$0.50
,Sell,8/14/2018 11:00,Trail_LX,$10382.75,,($122.00),$622.80,,($122.00),0.00%,-99.19%,$0.35,$0.50
62,Sell Short,8/17/2018 11:00,BO_Short,$10337.00,$0.00,1,($35.70),-0.16%,$70.50,64.09%,,$0.35,$0.50
,Buy to Cover,8/17/2018 13:00,Trail_SX,$10354.00,,($34.00),$587.10,,($39.50),5.00%,-30.91%,$0.35,$0.50
63,Sell Short,8/21/2018 21:00,BO_Short,$10340.00,$0.00,1,($24.70),-0.11%,$10.00,30.30%,,$0.35,$0.50
,Buy to Cover,8/21/2018 23:00,Trail_SX,$10351.50,,($23.00),$562.40,,($23.00),0.00%,-69.70%,$0.35,$0.50
64,Buy,8/24/2018 13:00,BO_Long,$10475.00,$0.00,1,$321.30,1.54%,$404.00,91.71%,,$0.35,$0.50
,Sell,8/30/2018 15:00,% Trailing Stop,$10636.50,,$323.00,$883.70,,($36.50),81.61%,73.33%,$0.35,$0.50
65,Buy,9/4/2018 05:00,BO_Long,$10663.00,$0.00,1,($92.70),-0.43%,$7.00,7.14%,,$0.35,$0.50
,Sell,9/4/2018 07:00,Trail_LX,$10617.50,,($91.00),$791.00,,($91.00),0.00%,-92.86%,$0.35,$0.50
66,Sell Short,9/24/2018 05:00,BO_Short,$10469.00,$0.00,1,($20.70),-0.09%,$4.00,17.02%,,$0.35,$0.50
,Buy to Cover,9/24/2018 07:00,Trail_SX,$10478.50,,($19.00),$770.30,,($19.50),2.13%,-80.85%,$0.35,$0.50
67,Sell Short,9/24/2018 09:00,BO_Short,$10468.25,$0.00,1,($26.20),-0.12%,$85.00,67.46%,,$0.35,$0.50
,Buy to Cover,9/24/2018 11:00,BO_SX,$10480.50,,($24.50),$744.10,,($41.00),13.10%,-19.44%,$0.35,$0.50
68,Buy,9/25/2018 19:00,BO_Long,$10550.00,$0.00,1,($11.70),-0.05%,$140.00,81.40%,,$0.35,$0.50
,Sell,9/26/2018 16:00,Trail_LX,$10545.00,,($10.00),$732.40,,($32.00),12.79%,-5.81%,$0.35,$0.50
69,Buy,9/27/2018 11:00,BO_Long,$10602.75,$0.00,1,($57.20),-0.26%,$71.00,56.13%,,$0.35,$0.50
,Sell,9/28/2018 07:00,Trail_LX,$10575.00,,($55.50),$675.20,,($55.50),0.00%,-43.87%,$0.35,$0.50
70,Buy,9/30/2018 21:00,BO_Long,$10639.25,$0.00,1,($46.20),-0.21%,$83.00,65.10%,,$0.35,$0.50
,Sell,10/1/2018 15:00,Trail_LX,$10617.00,,($44.50),$629.00,,($44.50),0.00%,-34.90%,$0.35,$0.50
71,Sell Short,10/8/2018 13:00,BO_Short,$10286.25,$0.00,1,$9.30,0.05%,$95.50,83.04%,,$0.35,$0.50
,Buy to Cover,10/8/2018 15:00,Trail_SX,$10280.75,,$11.00,$638.30,,($19.50),26.52%,9.57%,$0.35,$0.50
72,Sell Short,10/10/2018 11:00,BO_Short,$10209.75,$0.00,1,$30.80,0.16%,$113.00,71.07%,,$0.35,$0.50
,Buy to Cover,10/10/2018 13:00,Trail_SX,$10193.50,,$32.50,$669.10,,($46.00),49.37%,20.44%,$0.35,$0.50
73,Sell Short,10/10/2018 16:00,BO_Short,$10023.50,$0.00,1,$189.30,0.95%,$292.00,93.44%,,$0.35,$0.50
,Buy to Cover,10/10/2018 23:00,Trail_SX,$9928.00,,$191.00,$858.40,,($20.50),67.68%,61.12%,$0.35,$0.50
74,Sell Short,10/15/2018 16:00,BO_Short,$10036.00,$0.00,1,($86.70),-0.42%,$41.00,32.54%,,$0.35,$0.50
,Buy to Cover,10/15/2018 23:00,Trail_SX,$10078.50,,($85.00),$771.70,,($85.00),0.00%,-67.46%,$0.35,$0.50
75,Sell Short,10/18/2018 11:00,BO_Short,$10186.25,$0.00,1,$133.80,0.67%,$279.50,87.48%,,$0.35,$0.50
,Buy to Cover,10/18/2018 13:00,Trail_SX,$10118.50,,$135.50,$905.50,,($40.00),54.93%,42.41%,$0.35,$0.50
76,Sell Short,10/18/2018 15:00,BO_Short,$10067.50,$0.00,1,($66.70),-0.32%,$7.00,6.93%,,$0.35,$0.50
,Buy to Cover,10/18/2018 16:00,Trail_SX,$10100.00,,($65.00),$838.80,,($94.00),28.71%,-64.36%,$0.35,$0.50
77,Sell Short,10/26/2018 07:00,BO_Short,$9701.50,$0.00,1,($119.70),-0.61%,$27.00,18.62%,,$0.35,$0.50
,Buy to Cover,10/26/2018 09:00,Trail_SX,$9760.50,,($118.00),$719.10,,($118.00),0.00%,-81.38%,$0.35,$0.50
78,Sell Short,10/29/2018 16:00,BO_Short,$9681.25,$0.00,1,($99.20),-0.50%,$54.00,35.64%,,$0.35,$0.50
,Buy to Cover,10/30/2018 01:00,Trail_SX,$9730.00,,($97.50),$619.90,,($97.50),0.00%,-64.36%,$0.35,$0.50
79,Buy,11/6/2018 23:00,BO_Long,$9991.00,$0.00,1,$305.30,1.54%,$384.00,91.00%,,$0.35,$0.50
,Sell,11/8/2018 01:00,% Trailing Stop,$10144.50,,$307.00,$925.20,,($38.00),81.75%,72.75%,$0.35,$0.50
80,Sell Short,11/15/2018 11:00,BO_Short,$9712.75,$0.00,1,($104.70),-0.53%,$97.00,42.73%,,$0.35,$0.50
,Buy to Cover,11/15/2018 13:00,BO_SX,$9764.25,,($103.00),$820.50,,($130.00),11.89%,-45.37%,$0.35,$0.50
81,Sell Short,11/19/2018 11:00,BO_Short,$9746.25,$0.00,1,$257.30,1.33%,$324.00,99.08%,,$0.35,$0.50
,Buy to Cover,11/19/2018 15:00,% Trailing Stop,$9616.75,,$259.00,$1077.80,,($3.00),80.12%,79.20%,$0.35,$0.50
82,Sell Short,11/19/2018 16:00,BO_Short,$9605.00,$0.00,1,$323.80,1.69%,$353.00,88.92%,,$0.35,$0.50
,Buy to Cover,11/20/2018 11:00,% Trailing Stop,$9442.25,,$325.50,$1401.60,,($44.00),93.07%,81.99%,$0.35,$0.50
83,Sell Short,11/22/2018 13:00,BO_Short,$9481.00,$0.00,1,($52.70),-0.27%,$21.50,29.05%,,$0.35,$0.50
,Buy to Cover,11/23/2018 03:00,Stop_SX,$9506.50,,($51.00),$1348.90,,($52.50),2.03%,-68.92%,$0.35,$0.50
84,Buy,11/30/2018 15:00,BO_Long,$9874.00,$0.00,1,$345.30,1.76%,$434.00,94.04%,,$0.35,$0.50
,Sell,12/3/2018 07:00,% Trailing Stop,$10047.50,,$347.00,$1694.20,,($27.50),81.15%,75.19%,$0.35,$0.50
85,Sell Short,12/13/2018 15:00,BO_Short,$9702.75,$0.00,1,$119.30,0.62%,$201.00,75.71%,,$0.35,$0.50
,Buy to Cover,12/14/2018 07:00,Trail_SX,$9642.25,,$121.00,$1813.50,,($64.50),69.87%,45.57%,$0.35,$0.50
86,Sell Short,12/14/2018 13:00,BO_Short,$9598.25,$0.00,1,$61.30,0.33%,$146.50,72.17%,,$0.35,$0.50
,Buy to Cover,12/16/2018 21:00,Trail_SX,$9566.75,,$63.00,$1874.80,,($56.50),58.87%,31.03%,$0.35,$0.50
87,Sell Short,12/17/2018 09:00,BO_Short,$9533.50,$0.00,1,$87.80,0.47%,$167.00,93.30%,,$0.35,$0.50
,Buy to Cover,12/17/2018 11:00,Trail_SX,$9488.75,,$89.50,$1962.60,,($12.00),56.70%,50.00%,$0.35,$0.50
88,Sell Short,12/17/2018 15:00,BO_Short,$9440.25,$0.00,1,$64.80,0.35%,$180.00,91.84%,,$0.35,$0.50
,Buy to Cover,12/17/2018 16:00,Trail_SX,$9407.00,,$66.50,$2027.40,,($16.00),42.09%,33.93%,$0.35,$0.50
89,Sell Short,12/19/2018 16:00,BO_Short,$9279.75,$0.00,1,($65.20),-0.34%,$49.50,43.81%,,$0.35,$0.50
,Buy to Cover,12/19/2018 21:00,Trail_SX,$9311.50,,($63.50),$1962.20,,($63.50),0.00%,-56.19%,$0.35,$0.50
90,Sell Short,12/20/2018 01:00,BO_Short,$9222.75,$0.00,1,($104.70),-0.56%,$12.00,10.43%,,$0.35,$0.50
,Buy to Cover,12/20/2018 05:00,Trail_SX,$9274.25,,($103.00),$1857.50,,($103.00),0.00%,-89.57%,$0.35,$0.50
91,Sell Short,12/20/2018 13:00,BO_Short,$9185.75,$0.00,1,($57.20),-0.30%,$157.50,65.22%,,$0.35,$0.50
,Buy to Cover,12/20/2018 15:00,Trail_SX,$9213.50,,($55.50),$1800.30,,($84.00),11.80%,-22.98%,$0.35,$0.50
92,Sell Short,12/21/2018 13:00,BO_Short,$9110.00,$0.00,1,$242.80,1.34%,$244.50,97.22%,,$0.35,$0.50
,Buy to Cover,12/21/2018 15:00,% Trailing Stop,$8987.75,,$244.50,$2043.10,,($7.00),100.00%,97.22%,$0.35,$0.50
93,Sell Short,12/21/2018 16:00,BO_Short,$8990.25,$0.00,1,($53.20),-0.29%,$95.50,64.97%,,$0.35,$0.50
,Buy to Cover,12/23/2018 21:00,Trail_SX,$9016.00,,($51.50),$1989.90,,($51.50),0.00%,-35.03%,$0.35,$0.50
94,Sell Short,12/24/2018 09:00,BO_Short,$8930.00,$0.00,1,($7.70),-0.03%,$123.50,49.20%,,$0.35,$0.50
,Buy to Cover,12/24/2018 11:00,Trail_SX,$8933.00,,($6.00),$1982.20,,($127.50),48.41%,-2.39%,$0.35,$0.50
95,Sell Short,12/25/2018 19:00,BO_Short,$8829.00,$0.00,1,($15.70),-0.08%,$163.00,81.91%,,$0.35,$0.50
,Buy to Cover,12/25/2018 21:00,Trail_SX,$8836.00,,($14.00),$1966.50,,($36.00),11.06%,-7.04%,$0.35,$0.50
96,Sell Short,12/25/2018 23:00,BO_Short,$8789.75,$0.00,1,($96.70),-0.54%,$50.50,34.71%,,$0.35,$0.50
,Buy to Cover,12/26/2018 03:00,Trail_SX,$8837.25,,($95.00),$1869.80,,($95.00),0.00%,-65.29%,$0.35,$0.50
97,Sell Short,1/2/2019 01:00,BO_Short,$9203.50,$0.00,1,$144.30,0.79%,$245.00,92.28%,,$0.35,$0.50
,Buy to Cover,1/2/2019 05:00,Trail_SX,$9130.50,,$146.00,$2014.10,,($20.50),62.71%,54.99%,$0.35,$0.50
98,Buy,1/2/2019 15:00,BO_Long,$9334.00,$0.00,1,($251.70),-1.34%,$0.50,0.20%,,$0.35,$0.50
,Sell,1/2/2019 16:00,PosRiskLX,$9209.00,,($250.00),$1762.40,,($250.00),0.00%,-99.80%,$0.35,$0.50
99,Buy,1/4/2019 15:00,BO_Long,$9366.00,$0.00,1,$270.80,1.45%,$341.00,82.37%,,$0.35,$0.50
,Sell,1/9/2019 01:00,% Trailing Stop,$9502.25,,$272.50,$2033.20,,($73.00),83.45%,65.82%,$0.35,$0.50
100,Buy,1/9/2019 11:00,BO_Long,$9533.75,$0.00,1,($136.20),-0.71%,$76.50,32.55%,,$0.35,$0.50
,Sell,1/10/2019 11:00,BO_LX,$9466.50,,($134.50),$1897.00,,($158.50),10.21%,-57.23%,$0.35,$0.50
