

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

,Sell,3/12/2018 11:00,LX3,$3448.25,,$587.50,$5469.80,,($90.00),86.58%,75.08%,$0.70,$1.00
25,Buy,3/16/2018 10:00,LE1,$3415.75,$0.00,2,($143.40),-0.41%,$40.00,22.22%,,$0.70,$1.00
,Sell,3/18/2018 21:15,PosRiskLX,$3401.75,,($140.00),$5326.40,,($140.00),0.00%,-77.78%,$0.70,$1.00
26,Buy,3/16/2018 10:15,LE2,$3414.00,$0.00,2,($125.90),-0.36%,$57.50,31.94%,,$0.70,$1.00
,Sell,3/18/2018 21:15,PosRiskLX,$3401.75,,($122.50),$5200.50,,($122.50),0.00%,-68.06%,$0.70,$1.00
27,Buy,3/16/2018 10:30,LE3,$3414.00,$0.00,4,($251.80),-0.36%,$115.00,31.94%,,$1.40,$2.00
,Sell,3/18/2018 21:15,PosRiskLX,$3401.75,,($245.00),$4948.70,,($245.00),0.00%,-68.06%,$1.40,$2.00
28,Buy,3/29/2018 11:15,LE1,$3287.50,$0.00,2,$74.10,0.24%,$255.00,78.46%,,$0.70,$1.00
,Sell,3/29/2018 15:45,% Trailing Stop,$3295.25,,$77.50,$5022.80,,($70.00),45.38%,23.85%,$0.70,$1.00
29,Buy,3/29/2018 11:30,LE2,$3289.50,$0.00,2,$54.10,0.17%,$235.00,72.31%,,$0.70,$1.00
,Sell,3/29/2018 15:45,% Trailing Stop,$3295.25,,$57.50,$5076.90,,($90.00),45.38%,17.69%,$0.70,$1.00
30,Buy,3/29/2018 11:45,LE3,$3286.25,$0.00,2,$86.60,0.27%,$267.50,82.31%,,$0.70,$1.00
,Sell,3/29/2018 15:45,% Trailing Stop,$3295.25,,$90.00,$5163.50,,($57.50),45.38%,27.69%,$0.70,$1.00
31,Buy,4/5/2018 09:45,LE1,$3314.50,$0.00,2,($193.40),-0.57%,$112.50,37.19%,,$0.70,$1.00
,Sell,4/5/2018 19:00,PosRiskLX,$3295.50,,($190.00),$4970.10,,($190.00),0.00%,-62.81%,$0.70,$1.00
32,Buy,4/5/2018 10:00,LE2,$3308.50,$0.00,2,($133.40),-0.39%,$172.50,57.02%,,$0.70,$1.00
,Sell,4/5/2018 19:00,PosRiskLX,$3295.50,,($130.00),$4836.70,,($130.00),0.00%,-42.98%,$0.70,$1.00
33,Buy,4/5/2018 10:15,LE3,$3313.50,$0.00,2,($183.40),-0.54%,$122.50,40.50%,,$0.70,$1.00
,Sell,4/5/2018 19:00,PosRiskLX,$3295.50,,($180.00),$4653.30,,($180.00),0.00%,-59.50%,$0.70,$1.00
34,Buy,4/11/2018 11:00,LE1,$3308.00,$0.00,2,($88.40),-0.26%,$2.50,1.72%,,$0.70,$1.00
